id;team;draw;
12;Факел;12
3;Ростов;8
4;Спартак;8
13;Крылья Советов;8
6;Краснодар;7
2;ЦСКА;6
7;Динамо;6
10;Локомотив;6
11;Урал;6
15;Химки;6
1;Зенит;5
14;Пари НН;5
5;Ахмат;4
9;Сочи;4
16;Торпедо;4
8;Оренбург;3
